,ratingscore,reviewdescription,sentiment_score,sentiment_label,Date
0,2,"My first iPhone, have had apple products in the past, the 120 gb video, Itouch, iPad and I have to say it’s horrible. I recommend you getting an android. Nothing against this seller, just horrible phone! My speaker is broken and the phone isn’t even a year old.",-0.8356,Negative,2023-12-30
1,2,"The phone gets heat easily you use it for 20 min and you have you turn it off , came in opened box",0.34,Positive,2023-12-10
2,2,Una sorpresa súper desagradable. El teléfono estaba todo golpeado y escarapelado. Pantalla con un rayón batería 82 mala adquision.,0.0,Neutral,2023-03-13
3,3,I have had this phone for what I believe to be almost 6 months and the only problem I have had so far is the Bluetooth will not stay connected.the Wi-Fi will not stay connected either especially when I am on face time but other then those two major annoyance's it is a decent product the only reason I didn’t return it was because I didn’t feel like being another week or even four days without a phone but what I can say is the watch I got from them has been good so far and I have no complaints there,-0.0258,Neutral,2023-11-12
4,5,"Looks new. No scratches. So far, it’s working well up to now.",-0.0258,Neutral,2023-01-05
5,4,I bought this in good condition and it looks really good and almost new . Ofc it has scratches here and there like on the side and the screen but barley noticeable . It looks just like if someone is using the phone but you won’t even notice it tbh especially with a screen protector.overall i like it so far as first impression. Battery health was at a 100% as well.def recommend!,0.9436,Positive,2023-03-19
6,1,This phone would not work with the carriers listed. I bought the phone for my daughter to use with our phone plan. It would not work with our carrier. I checked with another carrier and it would not work with them either. They said it was sim unlocked but sometimes the phones have been wiped clean and you cannot use them at all. Waste of money.  Do not buy!!!,-0.2561,Negative,2023-07-11
7,1,Doesn’t work good,0.4404,Positive,2023-03-28
8,2,"El teléfono se ve bien por fuera, tiene algunos detalles pero muy pequeños, lo que sí es que no le dura nada la batería, lo dejado al 100% de batería y sin usarlo, sin internet llega a 10% de batería en un lapso de 8 horas.Solicité reembolso de mi dinero.",-0.8555,Negative,2023-11-26
9,4,"Todo está como nuevo, solamente la batería que me llego al 89%. Por el precio creo que valió la pena.",0.0,Neutral,2023-12-27
10,5,Bought it for my mum. She loves it. Working like brand new. Apple is best.,0.886,Positive,2023-04-09
11,3,Camera jittery/junk.  All I really wanted besides communicating with people and looking up info.  :(,-0.4404,Negative,2023-07-31
